;;;Наивный алгос;КМП со стандартными гранями;КМП с уточнёнными гранями;Merge KMP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 100;2720;1802;1640;4685;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 200;2747;1681;1799;4871;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 300;2741;1798;1786;5021;;;;Бинарный алфавит, 10к символов;;;;;;;;;;;;;;;Бинарный алфавит, 100к символов;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 400;2752;1790;1763;4852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 500;2729;1835;1893;5169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Наивный алгос;КМП со стандартными гранями;КМП с уточнёнными гранями;Merge KMP
Array type: binary;Length: 10000;Template length: 600;2660;1814;1862;4911;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 100;27145;17786;15750;45804
Array type: binary;Length: 10000;Template length: 700;2634;1826;1859;4910;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 200;27233;16963;16595;45701
Array type: binary;Length: 10000;Template length: 800;2612;1845;1914;5085;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 300;27157;16789;15981;45709
Array type: binary;Length: 10000;Template length: 900;2658;1861;1908;5055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 400;27171;16886;16482;47076
Array type: binary;Length: 10000;Template length: 1000;2620;1870;1929;5085;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 500;27364;17155;16749;47905
Array type: binary;Length: 10000;Template length: 1100;2568;1902;1968;5142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 600;27141;17693;16419;46788
Array type: binary;Length: 10000;Template length: 1200;2601;1983;2139;5622;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 700;27191;17495;16088;46358
Array type: binary;Length: 10000;Template length: 1300;2614;2038;2250;5587;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 800;27167;17161;16492;47078
Array type: binary;Length: 10000;Template length: 1400;2527;1882;2151;5316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 900;27087;17467;16495;45966
Array type: binary;Length: 10000;Template length: 1500;2532;1955;2144;5425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1000;27280;16709;17246;47234
Array type: binary;Length: 10000;Template length: 1600;2517;1958;2151;5302;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1100;27262;17499;16393;47128
Array type: binary;Length: 10000;Template length: 1700;2466;1988;2226;5541;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1200;27244;17454;16721;47487
Array type: binary;Length: 10000;Template length: 1800;2483;2152;2159;5469;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1300;27083;17082;16547;46571
Array type: binary;Length: 10000;Template length: 1900;2443;2081;2287;5632;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1400;27191;17763;16848;47621
Array type: binary;Length: 10000;Template length: 2000;2424;2025;2288;5599;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1500;27134;16621;17492;47026
Array type: binary;Length: 10000;Template length: 2100;2425;2110;2403;5767;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1600;27229;17310;17145;48516
Array type: binary;Length: 10000;Template length: 2200;2424;2134;2419;5856;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1700;27370;17801;17137;48828
Array type: binary;Length: 10000;Template length: 2300;2365;2032;2401;5656;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1800;27645;17253;16989;47634
Array type: binary;Length: 10000;Template length: 2400;2383;2209;2430;5840;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 1900;27161;17063;16911;47616
Array type: binary;Length: 10000;Template length: 2500;2325;2097;2451;5721;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2000;27011;17029;16711;46708
Array type: binary;Length: 10000;Template length: 2600;2355;2214;2578;6057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2100;27102;17239;17397;47743
Array type: binary;Length: 10000;Template length: 2700;2343;2274;2557;6028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2200;27320;17769;17186;48297
Array type: binary;Length: 10000;Template length: 2800;2304;2215;2553;5968;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2300;27124;18465;16725;47579
Array type: binary;Length: 10000;Template length: 2900;2323;2191;2559;5865;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2400;27083;18152;17044;47853
Array type: binary;Length: 10000;Template length: 3000;2305;2211;2565;5953;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2500;27206;17590;17654;49324
Array type: binary;Length: 100000;Template length: 100;27145;17786;15750;45804;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2600;27034;17340;17156;46968
Array type: binary;Length: 100000;Template length: 200;27233;16963;16595;45701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2700;26958;18502;17260;48726
Array type: binary;Length: 100000;Template length: 300;27157;16789;15981;45709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2800;26990;17826;17416;48148
Array type: binary;Length: 100000;Template length: 400;27171;16886;16482;47076;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 2900;26864;17192;17251;47041
Array type: binary;Length: 100000;Template length: 500;27364;17155;16749;47905;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 3000;27001;17242;17348;47764
