;;;Наивный алгос;КМП со стандартными гранями;КМП с уточнёнными гранями;Merge KMP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 100;2765;1769;1732;6054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 200;2733;1726;1708;5719;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 300;2717;1694;1813;5940;;;;;Бинарный алфавит, 10к символов;;;;;;;;;;;;;;Бинарный алфавит, 100к символов;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 400;2662;1825;1734;5486;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 500;2668;1851;1750;5584;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 600;2630;1856;1843;5709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 700;2615;1875;1812;5676;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 800;2615;1900;1854;5722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 900;2605;1904;1879;5950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 1000;2575;1911;1921;6007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 1100;2578;1924;1963;6048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 1200;2567;1831;2103;6674;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 1300;2553;1987;2077;6805;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 1400;2545;1968;2176;6993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 1500;2517;2061;2152;7049;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 1600;2600;2172;2278;6783;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 1700;2491;2012;2229;7121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 1800;2453;2159;2131;7249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 1900;2450;2005;2286;6065;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 2000;2434;2160;2206;6476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 2100;2432;2123;2340;6517;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 2200;2417;2034;2355;6347;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 2300;2400;2150;2475;7054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 2400;2381;2189;2427;6871;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 2500;2361;2118;2485;6725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 2600;2344;2192;2494;7462;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 2700;2336;2234;2536;7397;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 2800;2332;2288;2629;7448;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 2900;2319;2296;2655;7282;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 10000;Template length: 3000;2295;2294;2635;7933;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 100000;Template length: 100;27720;16971;16726;50199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Array type: binary;Length: 100000;Template length: 200;28104;17722;17026;52798;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Наивный алгос;КМП со стандартными гранями;КМП с уточнёнными гранями;Merge KMP;;;;;;Наивный алгос;КМП со стандартными гранями;КМП с уточнёнными гранями;Merge KMP
Array type: binary;Length: 100000;Template length: 300;27516;16626;16414;47431;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 200;28104;17722;17026;52798;;;;;Template length: 100;1872;1608;1612;5182
Array type: binary;Length: 100000;Template length: 400;27688;16786;16646;50122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 300;27516;16626;16414;47431;;;;;Template length: 200;1828;1613;1638;5299
Array type: binary;Length: 100000;Template length: 500;27365;17776;16645;50867;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 400;27688;16786;16646;50122;;;;;Template length: 300;1840;1624;1665;5386
Array type: binary;Length: 100000;Template length: 600;27312;17404;16442;47111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 500;27365;17776;16645;50867;;;;;Template length: 400;1850;1661;1717;5546
Array type: binary;Length: 100000;Template length: 700;27216;17480;16541;50071;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 600;27312;17404;16442;47111;;;;;Template length: 500;1815;1652;1716;5568
Array type: binary;Length: 100000;Template length: 800;27266;17655;16501;49757;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Template length: 700;27216;17480;16541;50071;;;;;Template length: 600;1854;1687;1763;5790
